condition,seed,e_pre_hz,e_pulse_hz,e_post_hz,e_pulse_minus_pre_hz,e_30_90_power_hz2,i_pre_hz,i_pulse_hz,i_post_hz,i_pulse_minus_pre_hz,i_30_90_power_hz2
reference_control,11,0.375,30.625,1.3888888888888888,30.25,5.033759401590209,6.166666666666667,30.5,7.944444444444445,24.333333333333332,41.44224912945608
reference_control,22,0.9583333333333334,30.125,1.1944444444444444,29.166666666666668,2.5578352700830984,7.5,34.0,7.833333333333333,26.5,37.8651712189676
reference_control,33,0.9166666666666666,24.75,1.2916666666666667,23.833333333333332,5.119172399992828,7.166666666666667,28.0,8.055555555555555,20.833333333333332,37.379090302455765
reference_perturbed,11,45.416666666666664,76.0,50.263888888888886,30.583333333333336,2386.1410306867147,40.166666666666664,56.0,40.5,15.833333333333336,1358.2916924376123
reference_perturbed,22,1.6666666666666667,65.125,47.44444444444444,63.458333333333336,2205.5432804443562,7.166666666666667,48.5,40.611111111111114,41.333333333333336,1537.9105533316433
reference_perturbed,33,43.333333333333336,73.125,50.05555555555556,29.791666666666664,2121.408917483031,39.333333333333336,59.5,40.611111111111114,20.166666666666664,1460.6295861524054
variant_control,11,0.875,35.875,1.9305555555555556,35.0,5.706743325329479,7.833333333333333,40.0,10.444444444444445,32.166666666666664,58.4498200249342
variant_control,22,1.0833333333333333,35.5,1.8194444444444444,34.416666666666664,8.654386083880455,8.166666666666666,42.0,10.722222222222221,33.833333333333336,62.10243313744089
variant_control,33,1.75,29.0,1.9722222222222223,27.25,6.313679668972652,10.333333333333334,31.5,10.555555555555555,21.166666666666664,54.64043264176546
variant_perturbed,11,54.0,83.375,56.93055555555556,29.375,2597.8639291071013,47.333333333333336,67.0,49.111111111111114,19.666666666666664,2137.921905183817
variant_perturbed,22,56.666666666666664,77.75,57.90277777777778,21.083333333333336,3185.3251888802874,47.333333333333336,64.5,50.166666666666664,17.166666666666664,2304.5439099154714
variant_perturbed,33,49.875,78.5,55.263888888888886,28.625,2896.442481600678,49.0,68.5,48.5,19.5,2272.473691566948
