condition,seed,e_pre_hz,e_pulse_hz,e_post_hz,e_pulse_minus_pre_hz,e_30_90_power_hz2,i_pre_hz,i_pulse_hz,i_post_hz,i_pulse_minus_pre_hz,i_30_90_power_hz2
reference_control,11,0.4583333333333333,21.375,1.0555555555555556,20.916666666666668,5.630907498327867,6.0,27.5,7.333333333333333,21.5,49.55628333443968
reference_control,22,0.7916666666666666,29.375,1.6388888888888888,28.583333333333332,11.022554299672406,6.666666666666667,28.5,8.444444444444445,21.833333333333332,44.85852849237709
reference_control,33,1.25,26.5,1.0555555555555556,25.25,2.019695578756278,7.666666666666667,27.0,7.555555555555555,19.333333333333332,40.60853276392191
reference_perturbed,11,39.791666666666664,63.0,48.958333333333336,23.208333333333336,2554.1228175523324,34.5,51.5,39.833333333333336,17.0,1613.0112976086457
reference_perturbed,22,51.666666666666664,69.375,49.736111111111114,17.708333333333336,2418.1970037477986,41.333333333333336,55.0,41.94444444444444,13.666666666666664,1699.8952648637376
reference_perturbed,33,44.25,80.875,49.986111111111114,36.625,2388.837697614168,39.5,61.0,40.888888888888886,21.5,1679.3550248201775
variant_control,11,0.9583333333333334,30.75,1.9583333333333333,29.791666666666668,8.006278987913579,7.666666666666667,37.5,10.38888888888889,29.833333333333332,69.86656525962121
variant_control,22,3.2083333333333335,33.125,2.6527777777777777,29.916666666666668,12.708882467014277,11.833333333333334,43.5,12.444444444444445,31.666666666666664,72.47817671925635
variant_control,33,1.5416666666666667,30.25,1.8194444444444444,28.708333333333332,6.237745681698633,9.666666666666666,36.5,9.88888888888889,26.833333333333336,52.70332046783544
variant_perturbed,11,55.125,71.875,57.0,16.75,2480.661551702669,48.5,61.0,48.77777777777778,12.5,1890.3220418028943
variant_perturbed,22,57.583333333333336,76.875,55.291666666666664,19.291666666666664,2530.692692094855,49.333333333333336,64.5,49.27777777777778,15.166666666666664,2205.1648232571442
variant_perturbed,33,53.708333333333336,70.75,57.15277777777778,17.041666666666664,2759.4015990484686,49.166666666666664,61.0,48.77777777777778,11.833333333333336,1945.457669066484
