condition,seed,e_pre_hz,e_pulse_hz,e_post_hz,e_pulse_minus_pre_hz,e_30_90_power_hz2,i_pre_hz,i_pulse_hz,i_post_hz,i_pulse_minus_pre_hz,i_30_90_power_hz2
reference_control,11,0.375,1.0,1.0694444444444444,0.625,1.97292590828261,6.166666666666667,7.5,7.111111111111111,1.333333333333333,42.52921124724198
reference_control,22,0.9583333333333334,3.0,1.3055555555555556,2.0416666666666665,5.082688814489366,7.5,10.0,7.944444444444445,2.5,71.21285612816658
reference_control,33,0.9166666666666666,0.875,0.9027777777777778,-0.04166666666666663,2.7651017410801413,7.166666666666667,7.5,6.944444444444445,0.33333333333333304,43.64581519265956
reference_perturbed,11,45.416666666666664,51.25,47.416666666666664,5.833333333333336,2260.456150897322,40.166666666666664,43.5,40.388888888888886,3.3333333333333357,1588.3321227442195
reference_perturbed,22,1.6666666666666667,17.375,48.166666666666664,15.708333333333334,2428.591314794335,7.166666666666667,22.0,41.388888888888886,14.833333333333332,1775.3997754582
reference_perturbed,33,43.333333333333336,39.5,45.75,-3.8333333333333357,2224.8676010832373,39.333333333333336,40.0,40.166666666666664,0.6666666666666643,1699.8798654460074
variant_control,11,0.875,2.875,1.625,2.0,4.470759831639063,7.833333333333333,9.0,9.11111111111111,1.166666666666667,52.18266386864331
variant_control,22,1.0833333333333333,1.875,1.6805555555555556,0.7916666666666667,10.805247535049718,8.166666666666666,10.0,9.666666666666666,1.833333333333334,61.28367645802993
variant_control,33,1.75,1.125,1.2222222222222223,-0.625,6.379814219294484,10.333333333333334,9.0,8.722222222222221,-1.333333333333334,48.40893614135064
variant_perturbed,11,54.0,54.625,59.875,0.625,2812.317371202406,47.333333333333336,52.5,49.166666666666664,5.166666666666664,1951.7690447394095
variant_perturbed,22,56.666666666666664,61.75,57.40277777777778,5.083333333333336,3104.852655769076,47.333333333333336,52.0,50.888888888888886,4.666666666666664,2479.693734897526
variant_perturbed,33,49.875,51.875,54.31944444444444,2.0,2657.591492821503,49.0,47.0,48.388888888888886,-2.0,2063.5812316895367
