condition,seed,e_pre_hz,e_pulse_hz,e_post_hz,e_pulse_minus_pre_hz,e_30_90_power_hz2,i_pre_hz,i_pulse_hz,i_post_hz,i_pulse_minus_pre_hz,i_30_90_power_hz2
reference_control,11,1.9166666666666667,35.1,1.761111111111111,33.18333333333334,2.1607674514442494,7.333333333333333,32.8,8.044444444444444,25.466666666666665,12.700888463243059
reference_control,22,1.2666666666666666,34.25,2.4055555555555554,32.983333333333334,4.135433911531944,6.666666666666667,30.2,8.977777777777778,23.53333333333333,9.934558666375338
reference_control,33,2.15,31.2,1.9833333333333334,29.05,2.655566616979125,8.266666666666667,30.8,8.244444444444444,22.53333333333333,12.613937160173492
reference_perturbed,11,57.9,75.0,61.522222222222226,17.1,1987.162945582045,41.666666666666664,52.6,40.62222222222222,10.933333333333337,917.1313664911395
reference_perturbed,22,58.233333333333334,84.25,58.96666666666667,26.016666666666666,2140.0405150072947,41.06666666666667,57.8,40.77777777777778,16.733333333333327,1046.5107371199124
reference_perturbed,33,58.13333333333333,74.1,58.611111111111114,15.966666666666661,2001.4332681350813,41.733333333333334,54.0,40.644444444444446,12.266666666666666,1178.4407195575857
variant_control,11,3.7333333333333334,40.4,3.7333333333333334,36.666666666666664,5.808041570777382,11.8,44.2,13.222222222222221,32.400000000000006,13.272939569770454
variant_control,22,1.95,39.85,3.727777777777778,37.9,5.978929503442835,9.533333333333333,39.0,12.866666666666667,29.46666666666667,13.416355680305992
variant_control,33,3.6166666666666667,45.5,3.6277777777777778,41.88333333333333,6.49656099993244,12.4,40.2,12.8,27.800000000000004,17.083821013859854
variant_perturbed,11,65.65,83.1,64.76666666666667,17.44999999999999,2144.929982048055,49.4,63.4,48.51111111111111,14.0,1372.2716459656854
variant_perturbed,22,66.66666666666667,86.15,64.9,19.483333333333334,2560.303358119176,48.6,67.8,49.44444444444444,19.199999999999996,1735.9922139041107
variant_perturbed,33,71.23333333333333,75.65,67.5,4.416666666666671,2633.2057109008215,48.2,61.8,49.0,13.599999999999994,1595.5083766006942
