condition,seed,e_pre_hz,e_pulse_hz,e_post_hz,e_pulse_minus_pre_hz,e_30_90_power_hz2,i_pre_hz,i_pulse_hz,i_post_hz,i_pulse_minus_pre_hz,i_30_90_power_hz2
reference_control,11,1.95,34.925,2.397222222222222,32.974999999999994,1.518536285667639,7.6,30.6,8.755555555555556,23.0,2.8276040452830182
reference_control,22,2.5833333333333335,42.425,2.4583333333333335,39.84166666666666,2.2796602344134045,8.5,34.1,9.011111111111111,25.6,3.6284187172498608
reference_control,33,2.1083333333333334,39.075,2.227777777777778,36.96666666666667,1.4957129876348725,7.666666666666667,32.3,8.355555555555556,24.63333333333333,3.7042391717808147
reference_perturbed,11,62.833333333333336,81.4,67.19722222222222,18.56666666666667,1280.4765928025438,40.1,57.2,40.577777777777776,17.1,526.8769636908078
reference_perturbed,22,63.94166666666667,84.15,65.68888888888888,20.208333333333336,1448.9899819599154,40.03333333333333,58.7,40.27777777777778,18.66666666666667,696.2443714127759
reference_perturbed,33,66.43333333333334,69.9,65.41944444444445,3.4666666666666686,1617.2329195728512,41.1,50.0,40.08888888888889,8.899999999999999,724.6470785715142
variant_control,11,4.05,44.85,4.252777777777778,40.800000000000004,3.8002118345529445,12.366666666666667,40.8,13.688888888888888,28.43333333333333,4.578596599199183
variant_control,22,4.041666666666667,47.2,3.5833333333333335,43.15833333333334,3.33727350309809,12.533333333333333,41.9,12.688888888888888,29.366666666666667,4.650255845854003
variant_control,33,3.658333333333333,47.225,3.6222222222222222,43.56666666666667,2.9730916320406027,12.066666666666666,40.4,12.366666666666667,28.333333333333332,4.2844517333808785
variant_perturbed,11,70.14166666666667,81.875,73.50277777777778,11.733333333333334,1331.9171373396016,46.96666666666667,66.2,48.18888888888889,19.233333333333334,613.1078068072621
variant_perturbed,22,78.14166666666667,84.325,72.95555555555555,6.183333333333337,1576.6645439781144,49.166666666666664,64.9,48.15555555555556,15.733333333333341,740.7227390036035
variant_perturbed,33,74.35833333333333,83.825,73.91111111111111,9.466666666666669,1574.9442373290433,48.166666666666664,63.7,48.36666666666667,15.533333333333339,696.9120651019841
