time_ms,soma_mv,middle_mv,tip_mv
0.000000000000000000e+00,-6.500000000000000000e+01,-6.500000000000000000e+01,-6.500000000000000000e+01
2.500000000000000139e-02,-6.499942375921450832e+01,-6.499989209440639115e+01,-6.499996179061569990e+01
5.000000000000000278e-02,-6.499892104991532449e+01,-6.499970277958732368e+01,-6.499986526111048590e+01
7.499999999999999722e-02,-6.499846493990946783e+01,-6.499946511673310567e+01,-6.499971234099301398e+01
9.999999999999999167e-02,-6.499804207012726920e+01,-6.499919889472297996e+01,-6.499951407999215292e+01
1.249999999999999861e-01,-6.499764416306415171e+01,-6.499891546237054740e+01,-6.499928250790543416e+01
1.499999999999999944e-01,-6.499726560351666649e+01,-6.499862179661269579e+01,-6.499902775314691894e+01
1.750000000000000167e-01,-6.499690242622672542e+01,-6.499832247828885556e+01,-6.499875758170156814e+01
2.000000000000000389e-01,-6.499655177698750208e+01,-6.499802063355691928e+01,-6.499847771441176292e+01
2.250000000000000611e-01,-6.499621157966129203e+01,-6.499771843302552554e+01,-6.499819228655900361e+01
2.500000000000000555e-01,-6.499588031297719226e+01,-6.499741739059096801e+01,-6.499790425644492586e+01
2.750000000000000777e-01,-6.499555685477814393e+01,-6.499711855874578248e+01,-6.499761572493542872e+01
3.000000000000000999e-01,-6.499524037126870724e+01,-6.499682266272353104e+01,-6.499732817366422921e+01
3.250000000000001221e-01,-6.499493023757275978e+01,-6.499653019491992723e+01,-6.499704263907997870e+01
3.500000000000001443e-01,-6.499462598051282214e+01,-6.499624148209376528e+01,-6.499675983849576255e+01
3.750000000000001665e-01,-6.499432723730537020e+01,-6.499595673341191571e+01,-6.499648026099825415e+01
4.000000000000001887e-01,-6.499403372570398574e+01,-6.499567607484712539e+01,-6.499620423286860671e+01
4.250000000000002109e-01,-6.499374522239314445e+01,-6.499539957380112298e+01,-6.499593196459329647e+01
4.500000000000002331e-01,-6.499346154733494529e+01,-6.499512725671195312e+01,-6.499566358460471349e+01
4.750000000000002554e-01,-6.499318255241402653e+01,-6.499485912162276691e+01,-6.499539916346631685e+01
5.000000000000002220e-01,-6.499290811318783767e+01,-6.499459514713288399e+01,-6.499513873118281992e+01
5.250000000000001332e-01,-6.499263812288191389e+01,-6.499433529875275894e+01,-6.499488228956705882e+01
5.500000000000000444e-01,-6.499237248800939426e+01,-6.499407953339787980e+01,-6.499462982105502817e+01
5.749999999999999556e-01,-6.499211112516668720e+01,-6.499382780255031378e+01,-6.499438129497083594e+01
5.999999999999998668e-01,-6.499185395868174453e+01,-6.499358005446792674e+01,-6.499413667196307642e+01
6.249999999999997780e-01,-6.499160091888130353e+01,-6.499333623571435226e+01,-6.499389590713100517e+01
6.499999999999996891e-01,-6.499135194080803046e+01,-6.499309629220591944e+01,-6.499365895221409062e+01
6.749999999999996003e-01,-6.499110696326557957e+01,-6.499286016991609927e+01,-6.499342575711288816e+01
6.999999999999995115e-01,-6.499086592810301966e+01,-6.499262781533833788e+01,-6.499319627093380802e+01
7.249999999999994227e-01,-6.499062877967463692e+01,-6.499239917577932601e+01,-6.499297044269621892e+01
7.499999999999993339e-01,-6.499039546442860171e+01,-6.499217419953430408e+01,-6.499274822180079525e+01
7.749999999999992450e-01,-6.499016593059073443e+01,-6.499195283598089645e+01,-6.499252955833000556e+01
7.999999999999991562e-01,-6.498994012791892771e+01,-6.499173503561773657e+01,-6.499231440323154629e+01
8.249999999999990674e-01,-6.498971800751016303e+01,-6.499152075006612961e+01,-6.499210270842070258e+01
8.499999999999989786e-01,-6.498949952164709032e+01,-6.499130993204788354e+01,-6.499189442682740037e+01
8.749999999999988898e-01,-6.498928462367453562e+01,-6.499110253534820458e+01,-6.499168951240615399e+01
8.999999999999988010e-01,-6.498907326789890249e+01,-6.499089851477013724e+01,-6.499148792012157116e+01
9.249999999999987121e-01,-6.498886540950518054e+01,-6.499069782608462731e+01,-6.499128960591870907e+01
9.499999999999986233e-01,-6.498866100448772443e+01,-6.499050042597940546e+01,-6.499109452668417930e+01
9.749999999999985345e-01,-6.498846000959181879e+01,-6.499030627200825450e+01,-6.499090264020256313e+01
9.999999999999984457e-01,-6.498826238226386920e+01,-6.499011532254222345e+01,-6.499071390511096524e+01
1.024999999999998357e+00,-6.498806808060861329e+01,-6.498992753672325762e+01,-6.499052828085351052e+01
1.049999999999998268e+00,-6.498787706335188830e+01,-6.498974287442081277e+01,-6.499034572763733308e+01
1.074999999999998179e+00,-6.498768928980821613e+01,-6.498956129619151056e+01,-6.499016620639046948e+01
1.099999999999998090e+00,-6.498750471985219690e+01,-6.498938276324196295e+01,-6.498998967872239518e+01
1.124999999999998002e+00,-6.498732331389322781e+01,-6.498920723739459504e+01,-6.498981610688719002e+01
1.149999999999997913e+00,-6.498714503285303579e+01,-6.498903468105638126e+01,-6.498964545374950319e+01
1.174999999999997824e+00,-6.498696983814558337e+01,-6.498886505719030993e+01,-6.498947768275328940e+01
1.199999999999997735e+00,-6.498679769165906350e+01,-6.498869832928940582e+01,-6.498931275789307449e+01
1.224999999999997646e+00,-6.498662855573964237e+01,-6.498853446135299805e+01,-6.498915064368777905e+01
1.249999999999997558e+00,-6.498646239317685058e+01,-6.498837341786529009e+01,-6.498899130515680156e+01
1.274999999999997469e+00,-6.498629916719031030e+01,-6.498821516377570617e+01,-6.498883470779819049e+01
1.299999999999997380e+00,-6.498613884141767016e+01,-6.498805966448114191e+01,-6.498868081756886284e+01
1.324999999999997291e+00,-6.498598137990360613e+01,-6.498790688580973551e+01,-6.498852960086657049e+01
1.349999999999997202e+00,-6.498582674708980278e+01,-6.498775679400615957e+01,-6.498838102451342991e+01
1.374999999999997113e+00,-6.498567490780574474e+01,-6.498760935571816333e+01,-6.498823505574098647e+01
1.399999999999997025e+00,-6.498552582726028959e+01,-6.498746453798436562e+01,-6.498809166217662892e+01
1.424999999999996936e+00,-6.498537947103389456e+01,-6.498732230822301403e+01,-6.498795081183109801e+01
1.449999999999996847e+00,-6.498523580507139741e+01,-6.498718263422180996e+01,-6.498781247308723152e+01
1.474999999999996758e+00,-6.498509479567539415e+01,-6.498704548412844417e+01,-6.498767661468953349e+01
1.499999999999996669e+00,-6.498495640950009999e+01,-6.498691082644211292e+01,-6.498754320573472398e+01
1.524999999999996581e+00,-6.498482061354552286e+01,-6.498677863000553145e+01,-6.498741221566304205e+01
1.549999999999996492e+00,-6.498468737515217697e+01,-6.498664886399764384e+01,-6.498728361425023081e+01
1.574999999999996403e+00,-6.498455666199598113e+01,-6.498652149792694388e+01,-6.498715737160020467e+01
1.599999999999996314e+00,-6.498442844208359759e+01,-6.498639650162519388e+01,-6.498703345813825649e+01
1.624999999999996225e+00,-6.498430268374796981e+01,-6.498627384524164086e+01,-6.498691184460477643e+01
1.649999999999996136e+00,-6.498417935564411607e+01,-6.498615349923770168e+01,-6.498679250204946811e+01
1.674999999999996048e+00,-6.498405842674513622e+01,-6.498603543438187558e+01,-6.498667540182592006e+01
1.699999999999995959e+00,-6.498393986633845998e+01,-6.498591962174508296e+01,-6.498656051558657509e+01
1.724999999999995870e+00,-6.498382364402223743e+01,-6.498580603269627431e+01,-6.498644781527809755e+01
1.749999999999995781e+00,-6.498370972970188575e+01,-6.498569463889828057e+01,-6.498633727313688269e+01
1.774999999999995692e+00,-6.498359809358680650e+01,-6.498558541230390517e+01,-6.498622886168497814e+01
1.799999999999995604e+00,-6.498348870618721662e+01,-6.498547832515224343e+01,-6.498612255372619018e+01
1.824999999999995515e+00,-6.498338153831109310e+01,-6.498537334996518666e+01,-6.498601832234244569e+01
1.849999999999995426e+00,-6.498327656106124550e+01,-6.498527045954406844e+01,-6.498591614089022528e+01
1.874999999999995337e+00,-6.498317374583245964e+01,-6.498516962696650978e+01,-6.498581598299735163e+01
1.899999999999995248e+00,-6.498307306430874064e+01,-6.498507082558336378e+01,-6.498571782255979201e+01
1.924999999999995159e+00,-6.498297448846061286e+01,-6.498497402901583087e+01,-6.498562163373867406e+01
1.949999999999995071e+00,-6.498287799054254776e+01,-6.498487921115263077e+01,-6.498552739095740094e+01
1.974999999999994982e+00,-6.498278354309040594e+01,-6.498478634614731675e+01,-6.498543506889892285e+01
1.999999999999994893e+00,-6.498269111891890759e+01,-6.498469540841564651e+01,-6.498534464250300857e+01
2.024999999999995026e+00,-6.498260069111925930e+01,-6.498460637263310957e+01,-6.498525608696374434e+01
2.049999999999995381e+00,-6.498251223305672397e+01,-6.498451921373238349e+01,-6.498516937772703272e+01
2.074999999999995737e+00,-6.498242571836831871e+01,-6.498443390690107435e+01,-6.498508449048820523e+01
2.099999999999996092e+00,-6.498234112096048420e+01,-6.498435042757930091e+01,-6.498500140118964907e+01
2.124999999999996447e+00,-6.498225841500683941e+01,-6.498426875145744930e+01,-6.498492008601856185e+01
2.149999999999996803e+00,-6.498217757494593627e+01,-6.498418885447399873e+01,-6.498484052140474887e+01
2.174999999999997158e+00,-6.498209857547909962e+01,-6.498411071281331886e+01,-6.498476268401844891e+01
2.199999999999997513e+00,-6.498202139156819612e+01,-6.498403430290353811e+01,-6.498468655076820255e+01
2.224999999999997868e+00,-6.498194599843355945e+01,-6.498395960141448313e+01,-6.498461209879879164e+01
2.249999999999998224e+00,-6.498187237155184448e+01,-6.498388658525563244e+01,-6.498453930548922131e+01
2.274999999999998579e+00,-6.498180048665395248e+01,-6.498381523157405582e+01,-6.498446814845071628e+01
2.299999999999998934e+00,-6.498173031972292790e+01,-6.498374551775246744e+01,-6.498439860552473135e+01
2.324999999999999289e+00,-6.498166184699194048e+01,-6.498367742140726477e+01,-6.498433065478103288e+01
2.349999999999999645e+00,-6.498159504494223881e+01,-6.498361092038655329e+01,-6.498426427451580878e+01
2.375000000000000000e+00,-6.498152989030117510e+01,-6.498354599276828480e+01,-6.498419944324977848e+01
2.400000000000000355e+00,-6.498146636004017296e+01,-6.498348261685833904e+01,-6.498413613972630287e+01
2.425000000000000711e+00,-6.498140443137273792e+01,-6.498342077118866200e+01,-6.498407434290962215e+01
2.450000000000001066e+00,-6.498134408175255317e+01,-6.498336043451543276e+01,-6.498401403198296578e+01
2.475000000000001421e+00,-6.498128528887147581e+01,-6.498330158581718763e+01,-6.498395518634680457e+01
2.500000000000001776e+00,-6.498122803065764685e+01,-6.498324420429307224e+01,-6.498389778561707431e+01
2.525000000000002132e+00,-6.498117228527354428e+01,-6.498318826936099413e+01,-6.498384180962338519e+01
2.550000000000002487e+00,-6.498111803111407880e+01,-6.498313376065584634e+01,-6.498378723840730231e+01
2.575000000000002842e+00,-6.498106524680473228e+01,-6.498308065802777378e+01,-6.498373405222062615e+01
2.600000000000003197e+00,-6.498101391119962500e+01,-6.498302894154038256e+01,-6.498368223152367307e+01
2.625000000000003553e+00,-6.498096400337972511e+01,-6.498297859146899214e+01,-6.498363175698354155e+01
2.650000000000003908e+00,-6.498091550265090177e+01,-6.498292958829898680e+01,-6.498358260947247800e+01
2.675000000000004263e+00,-6.498086838854214875e+01,-6.498288191272398251e+01,-6.498353477006618562e+01
2.700000000000004619e+00,-6.498082264080373704e+01,-6.498283554564420683e+01,-6.498348822004213332e+01
2.725000000000004974e+00,-6.498077823940536746e+01,-6.498279046816480786e+01,-6.498344294087796413e+01
2.750000000000005329e+00,-6.498073516453438003e+01,-6.498274666159409207e+01,-6.498339891424980408e+01
2.775000000000005684e+00,-6.498069339659396348e+01,-6.498270410744198955e+01,-6.498335612203065637e+01
2.800000000000006040e+00,-6.498065291620135042e+01,-6.498266278741823498e+01,-6.498331454628876713e+01
2.825000000000006395e+00,-6.498061370418604099e+01,-6.498262268343088977e+01,-6.498327416928607647e+01
2.850000000000006750e+00,-6.498057574158802652e+01,-6.498258377758453719e+01,-6.498323497347655575e+01
2.875000000000007105e+00,-6.498053900965604157e+01,-6.498254605217880453e+01,-6.498319694150463022e+01
2.900000000000007461e+00,-6.498050348984581603e+01,-6.498250948970660090e+01,-6.498316005620364422e+01
2.925000000000007816e+00,-6.498046916381832716e+01,-6.498247407285262511e+01,-6.498312430059425537e+01
2.950000000000008171e+00,-6.498043601343809428e+01,-6.498243978449173142e+01,-6.498308965788289981e+01
2.975000000000008527e+00,-6.498040402077141664e+01,-6.498240660768729526e+01,-6.498305611146022898e+01
3.000000000000008882e+00,-6.498037316808471076e+01,-6.498237452568966432e+01,-6.498302364489957483e+01
3.025000000000009237e+00,-6.498034343784279088e+01,-6.498234352193463792e+01,-6.498299224195541512e+01
3.050000000000009592e+00,-6.498031481270716370e+01,-6.498231358004180436e+01,-6.498296188656186700e+01
3.075000000000009948e+00,-6.498028727553437989e+01,-6.498228468381306300e+01,-6.498293256283115227e+01
3.100000000000010303e+00,-6.498026080937434301e+01,-6.498225681723103264e+01,-6.498290425505213364e+01
3.125000000000010658e+00,-6.498023539746866106e+01,-6.498222996445758781e+01,-6.498287694768877998e+01
3.150000000000011013e+00,-6.498021102324896958e+01,-6.498220410983222450e+01,-6.498285062537867418e+01
3.175000000000011369e+00,-6.498018767033534004e+01,-6.498217923787063910e+01,-6.498282527293156363e+01
3.200000000000011724e+00,-6.498016532253460298e+01,-6.498215533326316518e+01,-6.498280087532791072e+01
3.225000000000012079e+00,-6.498014396383874214e+01,-6.498213238087329557e+01,-6.498277741771735805e+01
3.250000000000012434e+00,-6.498012357842327447e+01,-6.498211036573616184e+01,-6.498275488541735001e+01
3.275000000000012790e+00,-6.498010415064565848e+01,-6.498208927305712734e+01,-6.498273326391165483e+01
3.300000000000013145e+00,-6.498008566504368844e+01,-6.498206908821019567e+01,-6.498271253884894350e+01
3.325000000000013500e+00,-6.498006810633391694e+01,-6.498204979673663217e+01,-6.498269269604134024e+01
3.350000000000013856e+00,-6.498005145941009175e+01,-6.498203138434351445e+01,-6.498267372146301568e+01
3.375000000000014211e+00,-6.498003570934154993e+01,-6.498201383690218336e+01,-6.498265560124879414e+01
3.400000000000014566e+00,-6.498002084137172574e+01,-6.498199714044694986e+01,-6.498263832169270415e+01
3.425000000000014921e+00,-6.498000684091651635e+01,-6.498198128117351757e+01,-6.498262186924667105e+01
3.450000000000015277e+00,-6.497999369356283239e+01,-6.498196624543766120e+01,-6.498260623051902485e+01
3.475000000000015632e+00,-6.497998138506702048e+01,-6.498195201975377699e+01,-6.498259139227320702e+01
3.500000000000015987e+00,-6.497996990135335693e+01,-6.498193859079347590e+01,-6.498257734142633524e+01
3.525000000000016342e+00,-6.497995922851251294e+01,-6.498192594538417666e+01,-6.498256406504791016e+01
3.550000000000016698e+00,-6.497994935280009088e+01,-6.498191407050772739e+01,-6.498255155035842279e+01
3.575000000000017053e+00,-6.497994026063513218e+01,-6.498190295329904131e+01,-6.498253978472799020e+01
