condition,seed,e_pre_hz,e_pulse_hz,e_post_hz,e_pulse_minus_pre_hz,e_30_90_power_hz2,i_pre_hz,i_pulse_hz,i_post_hz,i_pulse_minus_pre_hz,i_30_90_power_hz2,cells
reference_control,11,0.375,30.625,1.3888888888888888,30.25,5.033759401590209,6.166666666666667,30.5,7.944444444444445,24.33333333333333,41.44224912945608,100
reference_control,22,0.9583333333333334,30.125,1.1944444444444444,29.166666666666668,2.5578352700830984,7.5,34.0,7.833333333333333,26.5,37.8651712189676,100
reference_control,33,0.9166666666666666,24.75,1.2916666666666667,23.83333333333333,5.119172399992828,7.166666666666667,28.0,8.055555555555555,20.83333333333333,37.379090302455765,100
reference_perturbed,11,45.41666666666666,76.0,50.263888888888886,30.583333333333336,2386.1410306867147,40.16666666666666,56.0,40.5,15.833333333333336,1358.2916924376125,100
reference_perturbed,22,1.6666666666666667,65.125,47.44444444444444,63.458333333333336,2205.543280444356,7.166666666666667,48.5,40.61111111111112,41.333333333333336,1537.910553331643,100
reference_perturbed,33,43.333333333333336,73.125,50.05555555555556,29.791666666666664,2121.408917483031,39.333333333333336,59.5,40.61111111111112,20.166666666666664,1460.6295861524054,100
variant_control,11,0.875,35.875,1.930555555555556,35.0,5.706743325329479,7.833333333333333,40.0,10.444444444444445,32.166666666666664,58.4498200249342,100
variant_control,22,1.0833333333333333,35.5,1.8194444444444444,34.416666666666664,8.654386083880455,8.166666666666666,42.0,10.72222222222222,33.833333333333336,62.10243313744089,100
variant_control,33,1.75,29.0,1.9722222222222223,27.25,6.313679668972652,10.333333333333334,31.5,10.555555555555555,21.166666666666664,54.64043264176546,100
variant_perturbed,11,54.0,83.375,56.93055555555556,29.375,2597.8639291071013,47.333333333333336,67.0,49.11111111111112,19.666666666666664,2137.921905183817,100
variant_perturbed,22,56.66666666666666,77.75,57.90277777777778,21.083333333333336,3185.3251888802874,47.333333333333336,64.5,50.16666666666666,17.166666666666664,2304.5439099154714,100
variant_perturbed,33,49.875,78.5,55.263888888888886,28.625,2896.442481600678,49.0,68.5,48.5,19.5,2272.473691566948,100
reference_control,11,1.9166666666666667,35.1,1.761111111111111,33.18333333333334,2.1607674514442494,7.333333333333333,32.8,8.044444444444444,25.466666666666665,12.700888463243059,250
reference_control,22,1.2666666666666666,34.25,2.4055555555555554,32.983333333333334,4.135433911531944,6.666666666666667,30.2,8.977777777777778,23.53333333333333,9.934558666375338,250
reference_control,33,2.15,31.2,1.9833333333333334,29.05,2.655566616979125,8.266666666666667,30.8,8.244444444444444,22.53333333333333,12.613937160173492,250
reference_perturbed,11,57.9,75.0,61.522222222222226,17.1,1987.162945582045,41.666666666666664,52.6,40.62222222222222,10.933333333333337,917.1313664911395,250
reference_perturbed,22,58.233333333333334,84.25,58.96666666666667,26.016666666666666,2140.0405150072947,41.06666666666667,57.8,40.77777777777778,16.733333333333327,1046.5107371199124,250
reference_perturbed,33,58.13333333333333,74.1,58.611111111111114,15.966666666666661,2001.4332681350813,41.733333333333334,54.0,40.644444444444446,12.266666666666666,1178.4407195575857,250
variant_control,11,3.7333333333333334,40.4,3.7333333333333334,36.666666666666664,5.808041570777382,11.8,44.2,13.222222222222221,32.400000000000006,13.272939569770454,250
variant_control,22,1.95,39.85,3.727777777777778,37.9,5.978929503442835,9.533333333333333,39.0,12.866666666666667,29.46666666666667,13.416355680305992,250
variant_control,33,3.6166666666666667,45.5,3.6277777777777778,41.88333333333333,6.49656099993244,12.4,40.2,12.8,27.800000000000004,17.083821013859854,250
variant_perturbed,11,65.65,83.1,64.76666666666667,17.44999999999999,2144.929982048055,49.4,63.4,48.51111111111111,14.0,1372.2716459656854,250
variant_perturbed,22,66.66666666666667,86.15,64.9,19.483333333333334,2560.303358119176,48.6,67.8,49.44444444444444,19.199999999999996,1735.9922139041107,250
variant_perturbed,33,71.23333333333333,75.65,67.5,4.416666666666671,2633.2057109008215,48.2,61.8,49.0,13.599999999999994,1595.5083766006942,250
reference_control,11,1.95,34.925,2.397222222222222,32.974999999999994,1.518536285667639,7.6,30.6,8.755555555555556,23.0,2.8276040452830182,500
reference_control,22,2.5833333333333335,42.425,2.4583333333333335,39.84166666666666,2.2796602344134045,8.5,34.1,9.011111111111111,25.6,3.6284187172498608,500
reference_control,33,2.1083333333333334,39.075,2.227777777777778,36.96666666666667,1.4957129876348725,7.666666666666667,32.3,8.355555555555556,24.63333333333333,3.7042391717808147,500
reference_perturbed,11,62.833333333333336,81.4,67.19722222222222,18.56666666666667,1280.4765928025438,40.1,57.2,40.577777777777776,17.1,526.8769636908078,500
reference_perturbed,22,63.94166666666667,84.15,65.68888888888888,20.208333333333336,1448.9899819599154,40.03333333333333,58.7,40.27777777777778,18.66666666666667,696.2443714127759,500
reference_perturbed,33,66.43333333333334,69.9,65.41944444444445,3.4666666666666686,1617.2329195728512,41.1,50.0,40.08888888888889,8.899999999999999,724.6470785715142,500
variant_control,11,4.05,44.85,4.252777777777778,40.800000000000004,3.8002118345529445,12.366666666666667,40.8,13.688888888888888,28.43333333333333,4.578596599199183,500
variant_control,22,4.041666666666667,47.2,3.5833333333333335,43.15833333333334,3.33727350309809,12.533333333333333,41.9,12.688888888888888,29.366666666666667,4.650255845854003,500
variant_control,33,3.658333333333333,47.225,3.6222222222222222,43.56666666666667,2.9730916320406027,12.066666666666666,40.4,12.366666666666667,28.333333333333332,4.2844517333808785,500
variant_perturbed,11,70.14166666666667,81.875,73.50277777777778,11.733333333333334,1331.9171373396016,46.96666666666667,66.2,48.18888888888889,19.233333333333334,613.1078068072621,500
variant_perturbed,22,78.14166666666667,84.325,72.95555555555555,6.183333333333337,1576.6645439781144,49.166666666666664,64.9,48.15555555555556,15.733333333333341,740.7227390036035,500
variant_perturbed,33,74.35833333333333,83.825,73.91111111111111,9.466666666666669,1574.9442373290433,48.166666666666664,63.7,48.36666666666667,15.533333333333339,696.9120651019841,500
