cells,condition,cell,mean_hz,sd_hz,seeds
100,reference_control,e,1.2916666666666667,0.09722222222222221,3
100,reference_control,i,7.9444444444444455,0.11111111111111116,3
100,reference_perturbed,e,49.254629629629626,1.5711233235944235,3
100,reference_perturbed,i,40.574074074074076,0.06415002990996434,3
100,variant_control,e,1.9074074074074077,0.07897556532051854,3
100,variant_control,i,10.574074074074074,0.13981174880130876,3
100,variant_perturbed,e,56.699074074074076,1.3345866023518147,3
100,variant_perturbed,i,49.25925925925926,0.8431520324320096,3
250,reference_control,e,2.05,0.3273537747256941,3
250,reference_control,i,8.422222222222222,0.4914076530554665,3
250,reference_perturbed,e,59.70000000000001,1.5880728285069223,3
250,reference_perturbed,i,40.681481481481484,0.08413197549333834,3
250,variant_control,e,3.696296296296296,0.05940375900868686,3
250,variant_control,i,12.962962962962962,0.22698597697843717,3
250,variant_perturbed,e,65.72222222222223,1.5410434175631817,3
250,variant_perturbed,i,48.98518518518518,0.46684300019522,3
500,reference_control,e,2.361111111111111,0.11944444444444445,3
500,reference_control,i,8.707407407407407,0.3304193619213471,3
500,reference_perturbed,e,66.10185185185186,0.9581373927441117,3
500,reference_perturbed,i,40.31481481481482,0.24653984060211187,3
500,variant_control,e,3.8194444444444446,0.3757810795570828,3
500,variant_control,i,12.914814814814813,0.6894561583151481,3
500,variant_perturbed,e,73.45648148148148,0.4794571046781361,3
500,variant_perturbed,i,48.237037037037034,0.11349298848921793,3
